date,city,מחוז,age,דסק,pop,נותרים לחיסון,לא מחוסנים ולא מחלימים,מחלימים,מחלימים שהתחסנו,מחוסנים מלא,מחוסנים מלא שדעך חיסונם,מחוסנים ב3 מנות,בתהליך חיסון,מחוסנים מנה 1 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 1,% מחוסנים מנה 1 מכלל האוכלוסיה,% מחוסנים מנה 1 מהפוטנציאל,מחוסנים מנה 2 מכלל האוכלוסיה,אוכלוסיה פוטנציאלית לחיסון מנה 2,% מחוסנים מנה 2,% מחוסנים מנה 2 ממתחסני מנה 1,מחוסנים מנה 3 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 3,% מחוסנים מנה 3 מהפוטנציאל
25/08/2021,נווה איתן,מחוז צפון,16_18,דסק כללי,6,3,3,0,0,1,2,0,0,3,6,50%,50%,3,3,50%,100%,0,0,0%
25/08/2021,נווה דניאל,מחוז ירושלים,16_18,דסק כללי,134,0,0,13,13,43,105,0,2,163,131,122%,124%,151,161,113%,94%,0,0,0%
25/08/2021,נווה זוהר,מחוז דרום,16_18,דסק כללי,0,0,0,0,0,1,3,0,0,4,0,0%,0%,4,0,0%,0%,0,0,0%
25/08/2021,נווה זיו,מחוז צפון,16_18,דסק כללי,72,19,19,1,3,14,34,0,1,52,72,72%,72%,48,51,67%,94%,0,0,0%
25/08/2021,נווה חריף,מחוז דרום,16_18,דסק כללי,3,0,0,0,0,2,1,0,0,3,3,100%,100%,3,3,100%,100%,0,0,0%
25/08/2021,נווה ים,מחוז חיפה,16_18,דסק כללי,9,0,0,0,0,5,5,0,0,10,9,111%,111%,10,10,111%,100%,0,0,0%
25/08/2021,נווה ימין,מחוז מרכז,16_18,דסק כללי,45,4,4,2,3,14,21,0,1,39,45,87%,87%,35,39,78%,90%,0,0,0%
25/08/2021,נווה ירק,מחוז מרכז,16_18,דסק כללי,75,2,2,2,0,23,45,0,3,71,74,95%,96%,68,68,91%,100%,0,0,0%
25/08/2021,נווה מבטח,מחוז אשקלון,16_18,דסק כללי,36,0,0,0,1,10,25,0,2,38,36,106%,106%,35,35,97%,100%,0,0,0%
25/08/2021,נווה מיכאל,מחוז ירושלים,16_18,דסק כללי,39,0,0,3,0,11,22,0,4,37,39,95%,95%,33,33,85%,100%,0,0,0%
25/08/2021,נווה שלום,מחוז ירושלים,16_18,דסק כללי,12,6,6,0,1,2,3,0,0,6,12,50%,50%,5,6,42%,83%,0,0,0%
25/08/2021,נועם,מחוז אשקלון,16_18,דסק כללי,18,0,0,0,1,5,10,0,3,19,18,106%,106%,16,17,89%,94%,0,0,0%
25/08/2021,נוף איילון,מחוז מרכז,16_18,דסק כללי,123,0,0,7,12,36,95,1,1,145,123,118%,118%,134,144,109%,93%,1,0,0%
25/08/2021,נוף הגליל,מחוז צפון,16_18,דסק כללי,1668,431,431,88,72,342,646,0,89,1149,1653,69%,70%,1012,1085,61%,93%,0,0,0%
25/08/2021,נופים,מחוז מרכז,16_18,דסק כללי,30,0,0,4,0,12,15,0,1,28,30,93%,93%,27,28,90%,96%,0,0,0%
25/08/2021,נופית,מחוז חיפה,16_18,דסק כללי,177,9,9,1,3,33,122,3,6,167,176,94%,95%,160,161,90%,99%,3,0,0%
25/08/2021,נופך,מחוז מרכז,16_18,דסק כללי,18,4,4,2,3,1,7,0,1,12,18,67%,67%,8,11,44%,73%,0,0,0%
25/08/2021,נוקדים,מחוז ירושלים,16_18,דסק כללי,108,41,41,5,2,17,40,2,1,62,108,57%,57%,59,60,55%,98%,2,0,0%
25/08/2021,נורדיה,מחוז מרכז,16_18,דסק כללי,45,6,6,1,2,11,25,0,0,38,45,84%,84%,36,38,80%,95%,0,0,0%
25/08/2021,נורית,מחוז צפון,16_18,דסק כללי,9,0,0,0,0,2,7,0,1,10,9,111%,111%,9,9,100%,100%,0,0,0%
25/08/2021,נחושה,מחוז ירושלים,16_18,דסק כללי,120,0,0,5,7,35,87,0,4,133,119,111%,112%,125,131,104%,95%,0,0,0%
25/08/2021,נחל עוז,מחוז אשקלון,16_18,דסק כללי,12,0,0,1,0,4,7,0,0,11,11,92%,100%,11,11,92%,100%,0,0,0%
25/08/2021,נחלה,מחוז אשקלון,16_18,דסק כללי,27,3,3,3,3,3,14,0,1,21,27,78%,78%,18,21,67%,86%,0,0,0%
25/08/2021,נחליאל,מחוז מרכז,16_18,דסק כללי,36,13,13,11,0,5,6,0,1,12,36,33%,33%,11,12,31%,92%,0,0,0%
25/08/2021,נחלים,מחוז מרכז,16_18,דסק כללי,226,154,154,5,8,17,42,0,0,67,225,30%,30%,59,67,26%,88%,0,0,0%
25/08/2021,נחם,מחוז ירושלים,16_18,דסק כללי,27,3,3,2,4,4,13,0,1,22,27,81%,81%,17,21,63%,81%,0,0,0%
25/08/2021,נחף,מחוז צפון,16_18,דסק ערבי,900,333,333,53,21,102,301,0,90,514,899,57%,57%,412,444,46%,93%,0,0,0%
25/08/2021,נחשולים,מחוז חיפה,16_18,דסק כללי,27,0,0,0,0,5,22,0,0,27,27,100%,100%,27,27,100%,100%,0,0,0%
25/08/2021,נחשון,מחוז ירושלים,16_18,דסק כללי,24,5,5,0,0,5,13,0,1,19,24,79%,79%,18,18,75%,100%,0,0,0%
25/08/2021,נחשונים,מחוז מרכז,16_18,דסק כללי,18,1,1,0,0,4,11,0,2,17,18,94%,94%,16,16,89%,100%,0,0,0%
25/08/2021,נטועה,מחוז צפון,16_18,דסק כללי,12,2,2,2,0,1,6,0,1,8,12,67%,67%,7,7,58%,100%,0,0,0%
25/08/2021,נטור,מחוז צפון,16_18,דסק כללי,117,93,93,0,1,9,13,0,1,24,117,21%,21%,22,22,19%,100%,0,0,0%
25/08/2021,נטע,מחוז אשקלון,16_18,דסק כללי,27,0,0,5,6,20,29,0,3,58,25,215%,232%,50,55,185%,91%,0,0,0%
25/08/2021,נטעים,מחוז מרכז,16_18,דסק כללי,36,0,0,1,3,10,27,0,1,41,34,114%,121%,40,41,111%,98%,0,0,0%
25/08/2021,נטף,מחוז ירושלים,16_18,דסק כללי,9,0,0,0,0,3,7,0,1,11,9,122%,122%,10,10,111%,100%,0,0,0%
25/08/2021,ניין,מחוז צפון,16_18,דסק ערבי,116,18,18,2,6,25,59,0,6,96,116,83%,83%,85,90,73%,94%,0,0,0%
25/08/2021,"ניל""י",מחוז מרכז,16_18,דסק כללי,105,0,0,6,1,24,72,0,2,99,104,94%,95%,96,98,91%,98%,0,0,0%
25/08/2021,ניצן,מחוז אשקלון,16_18,דסק כללי,207,73,73,8,11,28,74,0,13,126,204,61%,62%,106,117,51%,91%,0,0,0%
25/08/2021,ניצן ב',מחוז אשקלון,16_18,דסק כללי,12,0,0,1,0,8,9,0,2,19,12,158%,158%,17,19,142%,89%,0,0,0%
25/08/2021,ניצנה (קהילת חינוך),מחוז דרום,16_18,דסק כללי,75,72,72,0,0,0,3,0,0,3,75,4%,4%,3,3,4%,100%,0,0,0%
